,uid,startTime,prior_context(sec),prior_context_speech_rate,dixit(sec),dixit_speech_rate,whole_conv_length(sec)
1206,12,1685886188559,7.556,1.985,17.693,0.848,83.934
1210,10,1685891204435,6.758,1.036,46.266,0.67,120.561
1211,12,1685891228245,6.784,1.032,19.955,0.651,74.931
1213,11,1685892180429,6.672,0.749,15.019,0.932,66.016
1214,10,1685893400386,7.677,1.042,56.689,0.67,155.52
1216,11,1685894981096,6.406,0.781,15.829,0.758,67.818
1217,10,1685897000043,6.416,1.403,18.631,2.04,75.641
1218,8,1685897610283,5.999,0.667,15.349,1.173,62.812
1219,11,1685897624897,6.801,0.735,15.542,0.965,107.341
1223,20,1685938062779,6.215,1.126,36.538,0.712,93.412
1225,10,1685948984326,6.564,1.219,41.955,0.381,107.096
1226,10,1685952518471,6.681,1.497,31.333,0.351,77.988
1227,20,1685953338067,6.286,0.795,83.245,0.096,169.388
1228,11,1685955045374,6.634,1.206,15.131,0.925,71.173
1229,1,1685956829366,7.113,0.703,17.566,0.342,69.652
1230,10,1685958201765,7.716,1.426,21.463,2.19,77.113
1232,1,1685961929914,8.122,1.231,53.36,0.206,133.405
1233,16,1685963999373,6.402,1.25,10.439,0.766,55.828
1234,4,1685964839797,6.293,1.43,28.553,0.56,73.714
1235,7,1685965238512,7.786,1.798,28.671,0.907,81.252
1237,1,1685967066845,7.075,0.707,18.296,0.164,67.381
1238,3,1685967120342,6.582,1.215,32.676,0.275,125.648
1239,11,1685968128913,8.057,2.358,16.331,1.163,111.652
1240,9,1685968313958,9.95,1.508,16.98,1.001,87.133
1241,16,1685969039503,7.757,1.16,9.371,1.281,153.069
1242,4,1685969110309,6.954,1.582,16.95,1.652,60.741
1244,3,1685969886002,7.262,1.102,45.897,0.087,182.326
1246,7,1685970446156,7.048,2.27,22.047,2.449,69.607
1247,4,1685971813106,6.797,1.913,18.942,2.428,66.064
1249,11,1685973534482,7.49,0.935,28.526,0.456,173.05
1252,11,1685976350510,6.82,0.293,18.169,0.771,72.172
1253,4,1685976854025,6.455,1.549,36.368,0.055,87.367
1254,3,1685977725246,7.175,1.115,39.558,0.202,210.241
1256,10,1685979161365,6.529,1.378,22.94,2.921,90.017
1257,8,1685979788771,7.09,0.846,20.042,2.245,70.326
1258,14,1685980791616,58.314,0.12,10.243,1.757,106.322
1259,4,1685980836995,6.928,1.443,17.381,2.704,62.636
1260,11,1685981420360,7.923,0.252,15.004,0.866,60.984
1261,3,1685982818294,6.633,1.206,33.169,0.121,187.372
1262,10,1685983404563,6.54,0.917,27.779,1.116,79.482
1264,11,1685984161113,6.303,1.269,15.703,0.701,78.026
1265,8,1685984828974,29.047,0.379,16.009,0.875,157.385
1266,12,1685991365730,8.649,0.694,18.716,0.748,110.016
1270,18,1686009808855,7.534,1.327,11.124,1.438,97.439
1271,20,1686022292196,15.906,0.503,18.847,2.441,76.786
1272,20,1686025319451,7.315,1.504,78.892,1.103,143.404
1273,5,1686026238849,6.712,0.894,17.834,1.346,67.679
1274,20,1686033874876,6.986,1.145,22.246,2.832,95.848
1275,4,1686036046428,6.697,1.941,26.285,0.647,86.73
1276,10,1686036396881,6.658,1.352,21.138,1.75,73.374
1277,3,1686038352434,8.031,0.996,16.527,0.121,86.813
1278,10,1686039565473,6.585,1.063,27.502,0.545,75.799
1279,4,1686039577866,6.565,1.828,37.562,0.053,92.702
1280,11,1686042203826,6.732,0.297,8.514,0.352,81.526
1281,11,1686042325956,5.905,0.339,15.717,0.7,62.889
1282,1,1686043201874,6.841,0.731,27.381,0.073,79.237
1283,10,1686044605810,6.949,1.439,29.122,0.515,79.171
1285,13,1686044642642,6.447,0.931,22.847,0.088,111.211
